"type","name","res_id","src","value "
"model","account.account,name",4907,"Leas.(bs) 65997 focus",
"model","account.account,name",4908,"Leasing (bs) 252",
"model","account.account,name",4909,"Leas.(bs) 57276",
"model","account.account,name",1437,"Otros gastos amortizables",
"model","account.account,name",4910,"Amortizacion acumulada",
"model","account.account,name",2748,"Amortizacion acumulada",
"model","account.account,name",1438,"Amortizacion del inmovil.",
"model","account.account,name",4911,"Amortizacion acumulada",
"model","account.account,name",2749,"Amortizacion acumulada",
"model","account.account,name",1439,"Amortizacion inmov.inmat.",
"model","account.account,name",1440,"Gastos investigacion y",
"model","account.account,name",4912,"A.a.inmobilizado inmat.",
"model","account.account,name",1441,"Concesiones administrati.",
"model","account.account,name",1442,"Propiedad industrial",
"model","account.account,name",2750,"A.a.gastos investigacion",
"model","account.account,name",1443,"Fondo de comercio",
"model","account.account,name",1444,"Derechos de traspaso",
"model","account.account,name",1445,"Aplicaciones informaticas",
"model","account.account,name",2751,"A.a. mercedes c220",
"model","account.account,name",2752,"A.a. maquinaria",
"model","account.account,name",2753,"A.a. opel zafira",
"model","account.account,name",2754,"A.a. opel astra",
"model","account.account,name",4913,"Amortizacion acumulada",
"model","account.account,name",2755,"Amortizacion acumulada",
"model","account.account,name",1446,"Amortizacion inmov. mater",
"model","account.account,name",4914,"A.a.inmobilizado material",
"model","account.account,name",2756,"A.a.conjuntos reactor",
"model","account.account,name",2757,"A.a. maquinaria 98",
"model","account.account,name",1447,"Amortizacion construccion",
"model","account.account,name",1448,"Amortizacion instalacion",
"model","account.account,name",1449,"Amortizacion maquinaria",
"model","account.account,name",1450,"Amortizacion del utillaje",
"model","account.account,name",1451,"Amortizacion otras instal",
"model","account.account,name",1452,"Amortizacion mobiliario",
"model","account.account,name",1453,"Amortizacion equipos proc",
"model","account.account,name",1454,"Amortizacion elementos de",
"model","account.account,name",1455,"Amortizacion otro inmovil",
"model","account.account,name",1456,"Provisiones del inmovili.",
"model","account.account,name",1457,"Provision deprec. inmov.",
"model","account.account,name",1458,"Provision gastos invest.",
"model","account.account,name",1459,"Provision concesiones ",
"model","account.account,name",1460,"Provision propiedad indus",
"model","account.account,name",1461,"Provision fondo comercio",
"model","account.account,name",1462,"Provision derechos de",
"model","account.account,name",1463,"Provision deprec. inmovi.",
"model","account.account,name",1464,"Provision depreciacion",
"model","account.account,name",1465,"Provision depreciacion",
"model","account.account,name",1466,"Provision instalac. tec. ",
"model","account.account,name",1467,"Provision utillaje",
"model","account.account,name",1468,"Provision otras instalaci",
"model","account.account,name",1469,"Provision de mobiliario",
"model","account.account,name",1470,"Provision equipos proceso",
"model","account.account,name",1471,"Provision elementos de ",
"model","account.account,name",1472,"Provision repuestos inmov",
"model","account.account,name",1473,"Provision deprec. otro in",
"model","account.account,name",1474,"Provision val.mobil.",
"model","account.account,name",1475,"Provision val. mobil.",
"model","account.account,name",1476,"Provision insolv. cdtos.",
"model","account.account,name",1477,"Provision insolv. cdtos.",
"model","account.account,name",1478,"Provision val.mobiliarios",
"model","account.account,name",1479,"Provision insolv. cdtos.",
"model","account.account,name",4915,"Existencias",
"model","account.account,name",1480,"Comerciales",
"model","account.account,name",4916,"Existencias",
"model","account.account,name",1481,"Mercaderias",
"model","account.account,name",4917,"Existencias",
"model","account.account,name",1482,"Materias primas",
"model","account.account,name",1483,"Materias primas",
"model","account.account,name",1484,"Otros aprovisionamientos",
"model","account.account,name",1485,"Elementos y conj. incorpo",
"model","account.account,name",1486,"Combustibles",
"model","account.account,name",1487,"Repuestos",
"model","account.account,name",1488,"Materiales diversos",
"model","account.account,name",1489,"Embalajes",
"model","account.account,name",1490,"Envases",
"model","account.account,name",1491,"Material de oficina",
"model","account.account,name",1492,"Otros aprovisionamientos",
"model","account.account,name",1493,"Productos en curso",
"model","account.account,name",1494,"Productos en curso",
"model","account.account,name",1495,"Productos semiterminados",
"model","account.account,name",1496,"Productos semiterminados",
"model","account.account,name",1497,"Productos terminados",
"model","account.account,name",1498,"Productos terminados",
"model","account.account,name",1499,"Subproductos/resid./mat.",
"model","account.account,name",1500,"Subproductos",
"model","account.account,name",1501,"Residuos",
"model","account.account,name",1502,"Materiales recuperados",
"model","account.account,name",1503,"Provision depreciacion",
"model","account.account,name",1504,"Provisiones mercaderias",
"model","account.account,name",1505,"Provision materias primas",
"model","account.account,name",1506,"Provision otros aprovisio",
"model","account.account,name",1507,"Provision productos curso",
"model","account.account,name",1508,"Provision productos semit",
"model","account.account,name",1509,"Provision productos termi",
"model","account.account,name",1510,"Provision subproduc.resid",
"model","account.account,name",4918,"Proveedores",
"model","account.account,name","account.a_recv","Main Receivable",
"model","account.account,name",2758,"Proveedores",
"model","account.account,name",1511,"Proveedores",
"model","account.account,name",14,"Proveedores",
"model","account.account,name",4919,"Proveedores",
"model","account.account,name",2759,"Proveedores",
"model","account.account,name",15,"Proveedroes",
"model","account.account,name",1512,"Proveedores",
"model","account.account,name",4920,"Proveedores",
"model","account.account,name",2760,"Proveedores",
"model","account.account,name",1513,"Proveedores",
"model","account.account,name",16,"Proveedores",
"model","account.account,name",4921,"Abello oxigeno linde, sa",
"model","account.account,name",2761,"Abello linde, sa",
"model","account.account,name",1514,"Solred, sa",
"model","account.account,name",17,"Banco de sabadell, sa  96",
"model","account.account,name",4922,"Rubisan tratamientos term",
"model","account.account,name",2762,"Rubisan tratamientos term",
"model","account.account,name",1515,"Aguas de barcelona s.gral",
"model","account.account,name",18,"Neotech valles, sl",
"model","account.account,name",4923,"Francisco perez garcia",
"model","account.account,name",2763,"Francisco perez garcia",
"model","account.account,name",1516,"Gelabert servic.y manteni",
"model","account.account,name",19,"Javier aguierre de la hoz",
"model","account.account,name",20,"Telefonica de espa~a, s.a",
"model","account.account,name",4924,"Oposiniones y concursos, ",
"model","account.account,name",2764,"Oposiciones y concursos, ",
"model","account.account,name",1517,"Telefonica de españa,sa",
